player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Tyler Bozak,34,C,31,5,12,17,-3,10,1.3,2,1,2,0,8,3,1,35,14.3,462,895,20,17,217,165,56.8,185,1,300,3.07,34,55,44,0.41,4.51,7.32,5.86,166.0,242.0,40.69,309.0,461.0,40.13,229.0,346.0,39.83,13.54,25.5,34.68,32,3,1,5000000,0.0613496932515337
Derick Brassard,33,C,53,8,12,20,-10,12,1.4,4,4,0,1,10,2,0,67,11.9,784,888,5,80,229,206,52.6,185,0,6,8.35,67,130,101,0.64,5.13,9.94,7.73,370.0,326.0,53.16,734.0,588.0,55.52,525.0,454.0,53.63,34.14,28.64,54.38,32,1,1,1000000,0.0122699386503067
Jesper Bratt,22,W,46,7,23,30,4,8,2.7,5,2,0,1,16,6,1,101,6.9,740,965,18,31,3,6,33.3,178,0,162,10.02,101,181,144,0.81,8.19,14.69,11.68,417.0,302.0,58.0,760.0,547.0,58.15,583.0,414.0,58.48,36.97,26.22,58.51,21,2,0,2750000,0.0337423312883435
Justin Braun,33,D,53,1,5,6,0,18,1.4,1,0,0,0,5,0,0,59,1.7,982,1112,73,78,0,0,0.0,188,1,201,1.79,59,119,82,0.11,3.6,7.27,5.01,422.0,521.0,44.75,788.0,925.0,46.0,603.0,700.0,46.28,33.59,45.26,42.6,33,2,1,1800000,0.0220858895705521
Jonas Brodin,27,D,53,9,14,23,2,18,4.2,8,1,0,2,13,1,0,79,11.4,1189,1346,99,35,0,0,0.0,185,0,10,4.74,77,163,101,0.24,3.95,8.36,5.19,483.0,577.0,45.57,899.0,1104.0,44.88,685.0,795.0,46.28,46.69,47.77,49.43,21,6,0,4166667,0.0511247484662576
Connor Brown,27,RW,56,21,14,35,1,12,4.3,15,1,5,1,11,3,0,123,17.1,1022,1095,30,22,12,15,44.4,183,1,156,13.57,117,194,156,0.81,7.02,11.64,9.36,463.0,552.0,45.62,853.0,992.0,46.23,644.0,758.0,45.93,41.97,55.79,42.93,26,3,0,3600000,0.0441717791411042
Dustin Brown,36,RW,49,17,14,31,-3,18,3.7,8,9,0,1,12,2,0,129,13.2,863,1057,10,85,2,2,50.0,183,1,13,15.35,129,207,168,1.07,8.96,14.38,11.67,517.0,353.0,59.43,932.0,622.0,59.97,712.0,487.0,59.38,52.55,35.06,59.98,29,8,1,5875000,0.0720858895705521
Pavel Buchnevich,25,LW,54,20,28,48,12,42,5.7,16,1,3,2,20,7,1,120,16.7,1012,1124,29,49,4,14,22.2,191,0,75,13.51,120,201,161,0.8,7.12,11.93,9.55,475.0,498.0,48.82,869.0,950.0,47.77,667.0,717.0,48.19,48.8,49.28,49.76,24,2,0,3250000,0.0398773006134969
André Burakovsky,25,LW,53,19,25,44,4,10,5.1,15,4,0,3,15,10,0,102,18.6,800,906,16,22,2,2,50.0,191,0,23,8.86,93,163,121,0.69,7.29,12.78,9.49,479.0,308.0,60.86,907.0,529.0,63.16,654.0,414.0,61.24,40.5,22.59,64.19,25,2,0,4900000,0.060122699386503
Brent Burns,35,D,56,7,22,29,-12,36,4.2,5,2,0,1,17,4,1,138,5.1,1463,1568,94,31,0,0,0.0,196,1,20,7.68,137,288,190,0.32,5.71,12.0,7.92,740.0,774.0,48.88,1331.0,1423.0,48.33,1005.0,1069.0,48.46,79.22,73.72,51.8,32,8,1,8000000,0.0981595092024539
