player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Darcy Kuemper,29,29,29,16,11,2,65,903,838,0.928,2.22,2,6.9,1753,22,0.759,2,80.0,16.65,196,0,161,2.22,2.53,0.31,28,2,1,1850000,0.0226993865030674
Robin Lehner,28,36,34,19,10,5,99,1235,1136,0.92,2.89,1,8.3,2055,19,0.559,4,89.0,12.67,193,0,46,2.89,3.01,0.12,27,1,1,5000000,0.0613496932515337
Henrik Lundqvist,37,30,26,10,12,3,84,883,799,0.905,3.16,1,4.5,1597,13,0.5,4,105.0,-4.16,185,0,205,3.16,3.29,0.13,32,7,1,8500000,0.1042944785276073
Jacob Markström,30,43,43,23,16,4,117,1420,1303,0.918,2.75,2,9.2,2552,25,0.581,5,91.0,11.4,198,0,31,2.75,2.82,0.07,27,3,1,3666667,0.0449897791411042
Petr Mrázek,27,40,38,21,16,2,104,1091,987,0.905,2.69,3,5.6,2321,19,0.5,7,105.0,-5.35,185,0,141,2.69,2.76,0.07,27,2,1,3125000,0.0383435582822085
Matt Murray,25,38,38,20,11,5,107,1055,948,0.899,2.87,1,4.7,2238,16,0.421,8,112.0,-11.6,193,0,83,2.87,2.46,-0.4,22,3,0,3750000,0.0460122699386503
Anders Nilsson,29,20,19,9,9,2,58,628,570,0.908,3.18,0,3.4,1093,11,0.579,5,102.0,-1.21,198,0,62,3.18,2.79,-0.39,29,2,1,2600000,0.0319018404907975
Carey Price,32,58,58,27,25,6,160,1755,1595,0.909,2.79,4,9.8,3440,31,0.534,11,101.0,-1.31,191,0,5,2.79,2.61,-0.18,29,8,1,10500000,0.1288343558282208
Jonathan Quick,34,42,42,16,22,4,117,1224,1107,0.904,2.79,1,6.2,2516,21,0.5,5,106.0,-6.32,185,0,72,2.79,2.6,-0.19,27,10,1,5800000,0.0711656441717791
Antti Raanta,30,33,32,15,14,3,80,1014,934,0.921,2.63,2,7.0,1823,19,0.594,3,87.0,11.69,183,0,300,2.63,2.82,0.19,29,3,1,4250000,0.0521472392638036
Tuukka Rask,32,41,41,26,8,6,85,1189,1104,0.929,2.12,5,9.1,2402,28,0.683,3,79.0,22.51,191,0,21,2.12,2.32,0.19,26,8,0,7000000,0.0858895705521472
James Reimer,31,25,24,14,6,2,61,712,651,0.914,2.66,3,4.4,1378,15,0.625,6,95.0,3.38,188,0,99,2.66,2.98,0.33,28,5,1,3400000,0.0417177914110429
David Rittich,27,48,48,24,17,6,138,1478,1340,0.907,2.97,2,7.9,2792,24,0.5,7,103.0,-4.36,191,0,300,2.97,2.76,-0.21,26,2,0,2750000,0.0337423312883435
Juuse Saros,24,40,34,17,12,4,98,1142,1044,0.914,2.7,4,7.0,2177,21,0.618,3,95.0,5.26,180,0,99,2.7,2.74,0.04,23,3,0,1500000,0.0184049079754601
Cory Schneider,33,13,11,3,6,2,40,355,315,0.887,3.53,1,1.2,679,3,0.273,3,125.0,-7.9,191,0,26,3.53,2.86,-0.67,29,7,1,6000000,0.0736196319018405
Alex Stalock,32,38,36,20,11,4,97,1082,985,0.91,2.67,4,6.2,2177,19,0.528,5,99.0,0.84,183,0,112,2.67,2.23,-0.44,31,3,1,785000,0.0096319018404907
Malcolm Subban,26,21,19,9,7,3,60,546,486,0.89,3.17,0,1.9,1134,7,0.368,7,122.0,-10.63,188,0,24,3.17,2.86,-0.31,25,1,0,850000,0.0104294478527607
Cam Talbot,32,26,22,12,10,1,63,780,717,0.919,2.63,2,5.2,1435,11,0.5,2,89.0,7.53,193,0,300,2.63,2.65,0.01,31,1,1,2750000,0.0337423312883435
Linus Ullmark,26,34,34,17,14,3,91,1066,975,0.915,2.69,1,6.6,2027,19,0.559,2,94.0,5.39,193,0,163,2.69,2.53,-0.16,25,1,0,1325000,0.0162576687116564
Semyon Varlamov,31,45,39,19,14,6,110,1278,1168,0.914,2.62,2,7.8,2517,21,0.538,4,95.0,5.56,188,0,23,2.62,2.66,0.04,31,4,1,5000000,0.0613496932515337
Andrei Vasilevskiy,25,52,52,35,14,3,133,1605,1472,0.917,2.56,3,10.4,3122,31,0.596,7,92.0,12.13,191,0,19,2.56,2.41,-0.14,21,3,0,3500000,0.0429447852760736
Jake Allen,30,29,27,11,12,5,76,817,741,0.907,2.68,0,4.7,1703,12,0.444,2,101.0,-0.73,188,0,34,2.68,2.53,-0.15,25,4,0,4350000,0.0533742331288343
Frederik Andersen,31,24,23,13,8,3,70,668,598,0.895,2.96,0,3.0,1420,9,0.391,6,114.0,-8.46,193,0,87,2.91,2.46,-0.45,26,5,0,5000000,0.0613496932515337
Jonathan Bernier,32,24,23,9,11,1,65,757,692,0.914,2.99,0,5.0,1306,15,0.652,4,93.0,4.74,183,0,11,2.99,3.03,0.04,29,3,1,3000000,0.0368098159509202
Jordan Binnington,27,42,41,18,14,8,108,1200,1092,0.91,2.65,0,7.3,2448,21,0.512,5,98.0,2.56,185,0,88,2.64,2.71,0.07,25,2,0,4400000,0.0539877300613496
Mackenzie Blackwood,24,35,35,14,17,4,106,1081,975,0.902,3.04,1,5.7,2091,18,0.514,10,106.0,-6.41,193,0,42,3.04,2.68,-0.37,23,3,0,2800000,0.0343558282208589
Sergei Bobrovsky,32,31,30,19,8,2,88,935,847,0.906,2.91,0,5.3,1816,16,0.533,4,102.0,-1.86,188,0,300,2.91,2.54,-0.37,30,7,1,10000000,0.1226993865030674
Laurent Brossoit,27,14,11,6,6,0,30,368,338,0.918,2.42,1,2.6,744,7,0.636,0,88.0,3.9,191,0,164,2.42,2.43,0.01,27,1,1,1500000,0.0184049079754601
Jack Campbell,29,22,22,17,3,2,46,585,539,0.921,2.15,2,4.3,1284,13,0.591,2,85.0,7.9,188,0,11,2.11,2.41,0.31,28,2,1,1650000,0.0202453987730061
