Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Derek Ryan,34,C,43,2,11,13,6,16,1.0,2,0,0,0,11,0,0,37,5.4,511,713,21,13,153,141,52.0
Brandon Saad,28,LW,44,15,9,24,1,12,2.9,13,2,0,1,8,1,0,68,22.1,620,846,10,16,27,35,43.5
Zach Sanford,26,LW,52,10,6,16,-13,25,0.8,6,3,1,3,5,0,1,67,14.9,774,893,44,69,28,40,41.2
Travis Sanheim,24,D,55,3,12,15,-22,23,1.0,3,0,0,1,12,0,0,100,3.0,1204,1313,73,48,0,0,0.0
David Savard,30,D,54,1,5,6,-27,24,-0.2,1,0,0,1,4,0,1,69,1.4,1072,1191,109,132,0,0,0.0
Marco Scandella,30,D,49,3,6,9,14,24,3.1,3,0,0,1,5,0,1,55,5.5,977,1197,64,60,0,0,0.0
Colton Sceviour,31,C,46,5,5,10,0,2,0.7,5,0,0,0,5,0,0,53,9.4,441,575,28,64,5,13,27.8
Mark Scheifele,27,C,56,21,42,63,-4,12,6.5,17,4,0,4,29,13,0,126,16.7,1174,1258,38,31,352,355,49.8
Brayden Schenn,29,C,56,16,20,36,-2,35,3.3,10,6,0,2,17,3,0,113,14.2,1072,1149,35,119,318,290,52.3
Luke Schenn,31,D,38,2,2,4,2,51,1.2,2,0,0,0,2,0,0,43,4.7,409,645,17,99,0,0,0.0
Nick Schmaltz,24,C,52,10,22,32,-1,16,3.0,7,3,0,1,18,4,0,105,9.5,887,1023,25,15,230,307,42.8
Nate Schmidt,29,D,54,5,10,15,-7,4,2.7,5,0,0,1,9,0,1,76,6.6,1086,1206,72,15,0,0,0.0
Justin Schultz,30,D,46,3,24,27,12,10,4.5,3,0,0,1,16,8,0,67,4.5,875,1141,49,28,0,0,0.0
Jaden Schwartz,28,C,40,8,13,21,2,20,1.8,7,1,0,1,11,2,0,70,11.4,708,1062,26,40,7,6,53.8
Andrej Sekera,34,D,46,3,2,5,12,4,2.6,3,0,0,0,2,0,0,33,9.1,719,938,62,47,0,0,0.0
Mikhail Sergachev,22,D,56,4,26,30,5,30,5.1,4,0,0,1,18,8,0,108,3.7,1230,1318,73,66,0,0,0.0
Damon Severson,26,D,56,3,18,21,-8,29,2.8,3,0,0,0,13,4,1,91,3.3,1259,1349,50,57,0,0,0.0
Yegor Sharangovich,22,C,54,16,14,30,-4,4,3.0,13,2,1,3,14,0,0,114,14.0,908,1008,20,20,26,66,28.3
Kevin Shattenkirk,32,D,55,2,13,15,-8,28,2.6,1,1,0,0,9,4,0,93,2.2,1166,1272,58,57,0,0,0.0
Riley Sheahan,29,C,53,4,9,13,-8,8,0.5,3,0,1,0,9,0,0,44,9.1,705,798,15,17,256,247,50.9
Conor Sheary,28,LW,53,14,8,22,-1,14,2.5,13,1,0,1,6,2,0,88,15.9,727,823,20,24,3,7,30.0
Kiefer Sherwood,25,RW,16,0,3,3,2,0,0.1,0,0,0,0,3,0,0,18,0.0,141,528,6,40,1,1,50.0
Devin Shore,26,C,38,5,4,9,-4,6,0.6,4,0,1,1,4,0,0,27,18.5,415,655,26,73,57,51,52.8
Jonas Siegenthaler,23,D,15,0,0,0,-9,4,-0.5,0,0,0,0,0,0,0,7,0.0,234,937,17,20,0,0,0.0
Jakob Silfverberg,30,LW,47,8,8,16,-17,18,0.7,5,2,1,0,7,1,0,91,8.8,796,1017,26,19,9,13,40.9
Radim Šimek,28,D,40,2,4,6,-9,15,0.7,2,0,0,0,4,0,0,26,7.7,568,853,49,76,0,0,0.0
Wayne Simmonds,32,RW,38,7,2,9,-3,45,0.6,4,3,0,0,2,0,0,62,11.3,455,719,15,64,6,6,50.0
Colton Sissons,27,C,54,8,7,15,2,18,1.3,7,0,1,0,6,0,1,58,13.8,775,861,27,74,319,272,54.0
Jeff Skinner,28,LW,53,7,7,14,-11,14,0.7,6,1,0,0,7,0,0,111,6.3,770,871,12,20,28,32,46.7
Brady Skjei,26,D,52,3,7,10,6,30,2.9,3,0,0,1,6,0,1,104,2.9,1078,1244,62,66,0,0,0.0
Jaccob Slavin,26,D,52,3,12,15,22,2,4.8,3,0,0,0,10,1,1,101,3.0,1195,1379,87,35,0,0,0.0
Brendan Smith,31,D,48,5,5,10,3,73,2.3,5,0,0,0,5,0,0,58,8.6,789,986,41,84,0,0,0.0
Craig Smith,31,C,54,13,19,32,21,18,4.2,9,4,0,4,17,2,0,132,9.8,803,893,8,66,10,13,43.5
Givani Smith,22,RW,16,1,3,4,-5,21,0.1,1,0,0,1,3,0,0,20,5.0,169,635,4,28,0,0,0.0
Reilly Smith,29,RW,53,14,11,25,10,18,2.7,8,4,2,1,10,1,0,124,11.3,947,1072,20,46,0,4,0.0
Ty Smith,20,D,48,2,21,23,-9,22,2.6,1,1,0,0,15,6,0,69,2.9,966,1207,35,32,0,0,0.0
