PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Tucker Poolman,188,1,127,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,25,3,0,775000,0.009748427672955974
Miikka Salomäki,180,0,52,6.62,51,73,63,1.03,7.91,11.32,9.77,186,152,55.03,334,321,50.99,253,231,52.27,16.42,11.79,58.21,25,2,0,750000,0.009433962264150943
Cody McLeod,188,0,300,2.63,22,35,29,0.64,5.36,8.52,7.06,101,165,37.97,181,276,39.61,136,215,38.75,7.76,13.33,36.79,34,1,1,750000,0.009433962264150943
Ben Street,183,0,300,1.26,19,46,28,0.30,4.50,10.89,6.63,75,169,30.74,177,307,36.57,118,233,33.61,6.81,16.63,29.05,31,1,1,750000,0.009433962264150943
Anton Rödin,180,0,53,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,27,1,1,750000,0.009433962264150943
Curtis McKenzie,188,0,159,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,27,2,1,750000,0.009433962264150943
Daniel Carr,183,0,300,1.07,11,18,14,1.09,11.20,18.32,14.25,30,20,60.00,61,38,61.62,40,28,58.82,2.16,1.88,53.47,26,1,1,750000,0.009433962264150943
Phillip Di Giuseppe,183,0,38,2.78,31,58,49,0.69,7.65,14.31,12.09,132,124,51.56,256,224,53.33,198,173,53.37,11.13,10.46,51.55,24,1,1,750000,0.009433962264150943
Daniel Sprong,183,1,46,10.73,125,227,177,0.85,9.96,18.09,14.10,388,398,49.36,759,728,51.04,579,559,50.88,36.57,35.64,50.64,21,2,0,750000,0.009433962264150943
Dominik Simon,180,0,137,10.52,121,206,161,0.67,7.67,13.06,10.21,537,419,56.17,994,754,56.86,729,564,56.38,44.75,29.34,60.40,23,2,0,750000,0.009433962264150943
John Hayden,191,1,74,4.90,42,90,67,0.59,5.09,10.92,8.13,207,275,42.95,421,469,47.30,287,359,44.43,18.91,22.14,46.07,23,2,0,750000,0.009433962264150943
Brendan Gaunce,188,0,26,0.17,2,2,2,0.45,5.26,5.26,5.26,10,9,52.63,20,17,54.05,12,15,44.44,0.67,0.89,42.95,23,2,0,750000,0.009433962264150943
Luke Witkowski,188,1,160,0.49,14,28,21,0.09,2.57,5.15,3.86,153,194,44.09,263,358,42.35,195,278,41.23,10.97,16.41,40.07,27,2,1,750000,0.009433962264150943
Tanner Kero,183,0,300,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,24,2,0,750000,0.009433962264150943
Remi Elie,185,0,40,1.05,9,23,20,0.38,3.26,8.33,7.25,55,101,35.26,111,177,38.54,89,142,38.53,3.55,8.46,29.56,23,1,0,735000,0.009245283018867925
William Carrier,188,0,57,9.68,85,134,108,1.08,9.52,15.01,12.10,297,244,54.90,544,419,56.49,398,327,54.90,24.94,20.58,54.79,23,2,0,725000,0.009119496855345912
Nick Seeler,188,0,131,2.52,67,153,97,0.17,4.59,10.48,6.65,381,398,48.91,735,865,45.94,538,586,47.86,27.82,31.13,47.19,25,3,0,725000,0.009119496855345912
Dean Kukan,188,0,300,0.64,16,36,21,0.11,2.85,6.42,3.74,171,143,54.46,299,261,53.39,234,196,54.42,14.76,11.00,57.30,24,2,0,725000,0.009119496855345912
Ben Harpur,198,0,108,2.09,50,99,70,0.14,3.34,6.61,4.67,359,592,37.75,636,1071,37.26,483,804,37.53,29.95,51.38,36.83,23,2,0,725000,0.009119496855345912
Mike Reilly,185,0,98,4.63,101,225,151,0.26,5.69,12.68,8.51,618,536,53.55,1196,954,55.63,834,722,53.60,49.12,45.84,51.73,23,2,0,725000,0.009119496855345912
Vincent LoVerde,180,1,300,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,28,2,1,725000,0.009119496855345912
Noel Acciari,178,1,300,9.82,99,159,137,0.63,6.35,10.19,8.78,441,452,49.38,744,897,45.34,599,666,47.35,33.59,40.35,45.43,25,2,0,725000,0.009119496855345912
Gustav Olofsson,188,0,46,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,22,2,0,725000,0.009119496855345912
Gemel Smith,180,0,104,1.09,14,16,14,0.46,5.91,6.75,5.91,56,82,40.58,85,151,36.02,68,121,35.97,3.85,5.56,40.90,24,1,0,720000,0.009056603773584906
Taylor Leier,180,0,117,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,24,1,0,720000,0.009056603773584906
Devon Toews,185,0,108,3.67,81,156,105,0.26,5.66,10.90,7.33,452,343,56.86,831,670,55.36,617,485,55.99,44.11,28.93,60.39,24,2,0,700000,0.00880503144654088
Oskar Sundqvist,191,1,81,14.18,113,206,165,0.83,6.63,12.09,9.68,443,527,45.67,851,950,47.25,639,711,47.33,41.70,45.44,47.85,24,1,0,700000,0.00880503144654088
Tom Kühnhackl,188,0,110,3.23,30,57,43,0.42,3.94,7.49,5.65,183,260,41.31,369,515,41.74,247,350,41.37,14.60,23.09,38.74,26,1,1,700000,0.00880503144654088
Fredrik Claesson,185,0,126,1.92,44,107,75,0.18,4.13,10.06,7.05,282,315,47.24,514,612,45.65,380,441,46.29,23.23,27.23,46.04,25,1,1,700000,0.00880503144654088
Samuel Morin,198,0,11,0.07,5,9,5,0.07,4.84,8.73,4.84,31,30,50.82,53,65,44.92,39,48,44.83,1.74,3.68,32.10,22,3,0,700000,0.00880503144654088
Marcus Sörensen,180,0,106,11.45,100,169,138,0.66,5.79,9.77,7.98,509,507,50.10,976,935,51.07,712,714,49.93,43.41,46.30,48.39,25,2,0,700000,0.00880503144654088
J.T. Brown,178,1,300,4.59,56,96,71,0.54,6.54,11.22,8.30,224,230,49.34,432,488,46.96,322,349,47.99,17.07,17.53,49.35,27,2,1,687500,0.008647798742138365
Andy Andreoff,185,0,80,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,26,2,0,677500,0.008522012578616352
Justin Holl,193,1,54,0.13,6,14,9,0.06,2.62,6.12,3.93,71,73,49.31,131,118,52.61,93,101,47.94,5.84,6.88,45.91,26,2,0,675000,0.008490566037735849
Valentin Zykov,183,1,37,4.04,29,57,45,0.87,6.24,12.27,9.69,160,104,60.61,327,196,62.52,234,148,61.26,15.93,10.93,59.31,23,2,0,675000,0.008490566037735849
Matt Irwin,185,0,300,1.27,50,112,72,0.15,6.04,13.52,8.69,262,245,51.68,484,449,51.88,359,321,52.79,17.97,19.17,48.38,30,2,1,675000,0.008490566037735849
Yannick Weber,180,1,73,2.06,67,122,83,0.17,5.44,9.91,6.74,373,367,50.41,693,646,51.76,521,482,51.94,29.13,29.51,49.68,29,2,1,675000,0.008490566037735849
